"Label (Grouping)","Androscoggin County, Maine!!Total!!Estimate","Androscoggin County, Maine!!Total!!Margin of Error","Androscoggin County, Maine!!Percent!!Estimate","Androscoggin County, Maine!!Percent!!Margin of Error","Androscoggin County, Maine!!Veterans!!Estimate","Androscoggin County, Maine!!Veterans!!Margin of Error","Androscoggin County, Maine!!Percent Veterans!!Estimate","Androscoggin County, Maine!!Percent Veterans!!Margin of Error","Androscoggin County, Maine!!Nonveterans!!Estimate","Androscoggin County, Maine!!Nonveterans!!Margin of Error","Androscoggin County, Maine!!Percent Nonveterans!!Estimate","Androscoggin County, Maine!!Percent Nonveterans!!Margin of Error","Aroostook County, Maine!!Total!!Estimate","Aroostook County, Maine!!Total!!Margin of Error","Aroostook County, Maine!!Percent!!Estimate","Aroostook County, Maine!!Percent!!Margin of Error","Aroostook County, Maine!!Veterans!!Estimate","Aroostook County, Maine!!Veterans!!Margin of Error","Aroostook County, Maine!!Percent Veterans!!Estimate","Aroostook County, Maine!!Percent Veterans!!Margin of Error","Aroostook County, Maine!!Nonveterans!!Estimate","Aroostook County, Maine!!Nonveterans!!Margin of Error","Aroostook County, Maine!!Percent Nonveterans!!Estimate","Aroostook County, Maine!!Percent Nonveterans!!Margin of Error","Cumberland County, Maine!!Total!!Estimate","Cumberland County, Maine!!Total!!Margin of Error","Cumberland County, Maine!!Percent!!Estimate","Cumberland County, Maine!!Percent!!Margin of Error","Cumberland County, Maine!!Veterans!!Estimate","Cumberland County, Maine!!Veterans!!Margin of Error","Cumberland County, Maine!!Percent Veterans!!Estimate","Cumberland County, Maine!!Percent Veterans!!Margin of Error","Cumberland County, Maine!!Nonveterans!!Estimate","Cumberland County, Maine!!Nonveterans!!Margin of Error","Cumberland County, Maine!!Percent Nonveterans!!Estimate","Cumberland County, Maine!!Percent Nonveterans!!Margin of Error","Franklin County, Maine!!Total!!Estimate","Franklin County, Maine!!Total!!Margin of Error","Franklin County, Maine!!Percent!!Estimate","Franklin County, Maine!!Percent!!Margin of Error","Franklin County, Maine!!Veterans!!Estimate","Franklin County, Maine!!Veterans!!Margin of Error","Franklin County, Maine!!Percent Veterans!!Estimate","Franklin County, Maine!!Percent Veterans!!Margin of Error","Franklin County, Maine!!Nonveterans!!Estimate","Franklin County, Maine!!Nonveterans!!Margin of Error","Franklin County, Maine!!Percent Nonveterans!!Estimate","Franklin County, Maine!!Percent Nonveterans!!Margin of Error","Hancock County, Maine!!Total!!Estimate","Hancock County, Maine!!Total!!Margin of Error","Hancock County, Maine!!Percent!!Estimate","Hancock County, Maine!!Percent!!Margin of Error","Hancock County, Maine!!Veterans!!Estimate","Hancock County, Maine!!Veterans!!Margin of Error","Hancock County, Maine!!Percent Veterans!!Estimate","Hancock County, Maine!!Percent Veterans!!Margin of Error","Hancock County, Maine!!Nonveterans!!Estimate","Hancock County, Maine!!Nonveterans!!Margin of Error","Hancock County, Maine!!Percent Nonveterans!!Estimate","Hancock County, Maine!!Percent Nonveterans!!Margin of Error","Kennebec County, Maine!!Total!!Estimate","Kennebec County, Maine!!Total!!Margin of Error","Kennebec County, Maine!!Percent!!Estimate","Kennebec County, Maine!!Percent!!Margin of Error","Kennebec County, Maine!!Veterans!!Estimate","Kennebec County, Maine!!Veterans!!Margin of Error","Kennebec County, Maine!!Percent Veterans!!Estimate","Kennebec County, Maine!!Percent Veterans!!Margin of Error","Kennebec County, Maine!!Nonveterans!!Estimate","Kennebec County, Maine!!Nonveterans!!Margin of Error","Kennebec County, Maine!!Percent Nonveterans!!Estimate","Kennebec County, Maine!!Percent Nonveterans!!Margin of Error","Knox County, Maine!!Total!!Estimate","Knox County, Maine!!Total!!Margin of Error","Knox County, Maine!!Percent!!Estimate","Knox County, Maine!!Percent!!Margin of Error","Knox County, Maine!!Veterans!!Estimate","Knox County, Maine!!Veterans!!Margin of Error","Knox County, Maine!!Percent Veterans!!Estimate","Knox County, Maine!!Percent Veterans!!Margin of Error","Knox County, Maine!!Nonveterans!!Estimate","Knox County, Maine!!Nonveterans!!Margin of Error","Knox County, Maine!!Percent Nonveterans!!Estimate","Knox County, Maine!!Percent Nonveterans!!Margin of Error","Lincoln County, Maine!!Total!!Estimate","Lincoln County, Maine!!Total!!Margin of Error","Lincoln County, Maine!!Percent!!Estimate","Lincoln County, Maine!!Percent!!Margin of Error","Lincoln County, Maine!!Veterans!!Estimate","Lincoln County, Maine!!Veterans!!Margin of Error","Lincoln County, Maine!!Percent Veterans!!Estimate","Lincoln County, Maine!!Percent Veterans!!Margin of Error","Lincoln County, Maine!!Nonveterans!!Estimate","Lincoln County, Maine!!Nonveterans!!Margin of Error","Lincoln County, Maine!!Percent Nonveterans!!Estimate","Lincoln County, Maine!!Percent Nonveterans!!Margin of Error","Oxford County, Maine!!Total!!Estimate","Oxford County, Maine!!Total!!Margin of Error","Oxford County, Maine!!Percent!!Estimate","Oxford County, Maine!!Percent!!Margin of Error","Oxford County, Maine!!Veterans!!Estimate","Oxford County, Maine!!Veterans!!Margin of Error","Oxford County, Maine!!Percent Veterans!!Estimate","Oxford County, Maine!!Percent Veterans!!Margin of Error","Oxford County, Maine!!Nonveterans!!Estimate","Oxford County, Maine!!Nonveterans!!Margin of Error","Oxford County, Maine!!Percent Nonveterans!!Estimate","Oxford County, Maine!!Percent Nonveterans!!Margin of Error","Penobscot County, Maine!!Total!!Estimate","Penobscot County, Maine!!Total!!Margin of Error","Penobscot County, Maine!!Percent!!Estimate","Penobscot County, Maine!!Percent!!Margin of Error","Penobscot County, Maine!!Veterans!!Estimate","Penobscot County, Maine!!Veterans!!Margin of Error","Penobscot County, Maine!!Percent Veterans!!Estimate","Penobscot County, Maine!!Percent Veterans!!Margin of Error","Penobscot County, Maine!!Nonveterans!!Estimate","Penobscot County, Maine!!Nonveterans!!Margin of Error","Penobscot County, Maine!!Percent Nonveterans!!Estimate","Penobscot County, Maine!!Percent Nonveterans!!Margin of Error","Piscataquis County, Maine!!Total!!Estimate","Piscataquis County, Maine!!Total!!Margin of Error","Piscataquis County, Maine!!Percent!!Estimate","Piscataquis County, Maine!!Percent!!Margin of Error","Piscataquis County, Maine!!Veterans!!Estimate","Piscataquis County, Maine!!Veterans!!Margin of Error","Piscataquis County, Maine!!Percent Veterans!!Estimate","Piscataquis County, Maine!!Percent Veterans!!Margin of Error","Piscataquis County, Maine!!Nonveterans!!Estimate","Piscataquis County, Maine!!Nonveterans!!Margin of Error","Piscataquis County, Maine!!Percent Nonveterans!!Estimate","Piscataquis County, Maine!!Percent Nonveterans!!Margin of Error","Sagadahoc County, Maine!!Total!!Estimate","Sagadahoc County, Maine!!Total!!Margin of Error","Sagadahoc County, Maine!!Percent!!Estimate","Sagadahoc County, Maine!!Percent!!Margin of Error","Sagadahoc County, Maine!!Veterans!!Estimate","Sagadahoc County, Maine!!Veterans!!Margin of Error","Sagadahoc County, Maine!!Percent Veterans!!Estimate","Sagadahoc County, Maine!!Percent Veterans!!Margin of Error","Sagadahoc County, Maine!!Nonveterans!!Estimate","Sagadahoc County, Maine!!Nonveterans!!Margin of Error","Sagadahoc County, Maine!!Percent Nonveterans!!Estimate","Sagadahoc County, Maine!!Percent Nonveterans!!Margin of Error","Somerset County, Maine!!Total!!Estimate","Somerset County, Maine!!Total!!Margin of Error","Somerset County, Maine!!Percent!!Estimate","Somerset County, Maine!!Percent!!Margin of Error","Somerset County, Maine!!Veterans!!Estimate","Somerset County, Maine!!Veterans!!Margin of Error","Somerset County, Maine!!Percent Veterans!!Estimate","Somerset County, Maine!!Percent Veterans!!Margin of Error","Somerset County, Maine!!Nonveterans!!Estimate","Somerset County, Maine!!Nonveterans!!Margin of Error","Somerset County, Maine!!Percent Nonveterans!!Estimate","Somerset County, Maine!!Percent Nonveterans!!Margin of Error","Waldo County, Maine!!Total!!Estimate","Waldo County, Maine!!Total!!Margin of Error","Waldo County, Maine!!Percent!!Estimate","Waldo County, Maine!!Percent!!Margin of Error","Waldo County, Maine!!Veterans!!Estimate","Waldo County, Maine!!Veterans!!Margin of Error","Waldo County, Maine!!Percent Veterans!!Estimate","Waldo County, Maine!!Percent Veterans!!Margin of Error","Waldo County, Maine!!Nonveterans!!Estimate","Waldo County, Maine!!Nonveterans!!Margin of Error","Waldo County, Maine!!Percent Nonveterans!!Estimate","Waldo County, Maine!!Percent Nonveterans!!Margin of Error","Washington County, Maine!!Total!!Estimate","Washington County, Maine!!Total!!Margin of Error","Washington County, Maine!!Percent!!Estimate","Washington County, Maine!!Percent!!Margin of Error","Washington County, Maine!!Veterans!!Estimate","Washington County, Maine!!Veterans!!Margin of Error","Washington County, Maine!!Percent Veterans!!Estimate","Washington County, Maine!!Percent Veterans!!Margin of Error","Washington County, Maine!!Nonveterans!!Estimate","Washington County, Maine!!Nonveterans!!Margin of Error","Washington County, Maine!!Percent Nonveterans!!Estimate","Washington County, Maine!!Percent Nonveterans!!Margin of Error","York County, Maine!!Total!!Estimate","York County, Maine!!Total!!Margin of Error","York County, Maine!!Percent!!Estimate","York County, Maine!!Percent!!Margin of Error","York County, Maine!!Veterans!!Estimate","York County, Maine!!Veterans!!Margin of Error","York County, Maine!!Percent Veterans!!Estimate","York County, Maine!!Percent Veterans!!Margin of Error","York County, Maine!!Nonveterans!!Estimate","York County, Maine!!Nonveterans!!Margin of Error","York County, Maine!!Percent Nonveterans!!Estimate","York County, Maine!!Percent Nonveterans!!Margin of Error"
"Civilian population 18 years and over","84,548","±24","(X)","(X)","8,118","±573","9.6%","±0.7","76,430","±574","90.4%","±0.7","55,003","±38","(X)","(X)","6,063","±368","11.0%","±0.7","48,940","±369","89.0%","±0.7","239,001","±227","(X)","(X)","17,194","±912","7.2%","±0.4","221,807","±963","92.8%","±0.4","24,610","±49","(X)","(X)","2,622","±246","10.7%","±1.0","21,988","±241","89.3%","±1.0","45,507","±84","(X)","(X)","4,241","±388","9.3%","±0.9","41,266","±381","90.7%","±0.9","98,522","±75","(X)","(X)","9,836","±640","10.0%","±0.6","88,686","±639","90.0%","±0.6","32,757","±96","(X)","(X)","2,836","±311","8.7%","±0.9","29,921","±315","91.3%","±0.9","28,595","±69","(X)","(X)","3,357","±265","11.7%","±0.9","25,238","±265","88.3%","±0.9","47,128","±55","(X)","(X)","4,590","±365","9.7%","±0.8","42,538","±363","90.3%","±0.8","123,897","±133","(X)","(X)","10,904","±601","8.8%","±0.5","112,993","±615","91.2%","±0.5","13,983","±56","(X)","(X)","1,544","±170","11.0%","±1.2","12,439","±188","89.0%","±1.2","28,972","±56","(X)","(X)","3,450","±335","11.9%","±1.2","25,522","±334","88.1%","±1.2","40,920","±37","(X)","(X)","4,449","±460","10.9%","±1.1","36,471","±466","89.1%","±1.1","32,330","±23","(X)","(X)","2,886","±218","8.9%","±0.7","29,444","±215","91.1%","±0.7","25,300","±28","(X)","(X)","3,003","±180","11.9%","±0.7","22,297","±185","88.1%","±0.7","166,797","±198","(X)","(X)","16,559","±949","9.9%","±0.6","150,238","±986","90.1%","±0.6"
"    PERIOD OF SERVICE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Gulf War (9/2001 or later) veterans","(X)","(X)","(X)","(X)","1,690","±289","20.8%","±3.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","802","±176","13.2%","±2.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2,601","±399","15.1%","±2.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","283","±90","10.8%","±3.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","403","±103","9.5%","±2.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,451","±285","14.8%","±2.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","266","±100","9.4%","±3.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","484","±125","14.4%","±3.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","457","±131","10.0%","±2.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2,110","±387","19.4%","±3.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","153","±67","9.9%","±4.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","507","±170","14.7%","±4.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","547","±169","12.3%","±3.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","399","±144","13.8%","±4.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","344","±62","11.5%","±1.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2,958","±516","17.9%","±2.6","(X)","(X)","(X)","(X)"
"        Gulf War (8/1990 to 8/2001) veterans","(X)","(X)","(X)","(X)","1,382","±223","17.0%","±2.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,244","±227","20.5%","±3.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3,320","±447","19.3%","±2.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","475","±146","18.1%","±5.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","914","±184","21.6%","±3.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2,081","±348","21.2%","±3.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","338","±115","11.9%","±3.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","485","±132","14.4%","±3.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","663","±147","14.4%","±2.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2,334","±327","21.4%","±2.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","233","±89","15.1%","±5.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","829","±192","24.0%","±4.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,261","±301","28.3%","±5.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","486","±122","16.8%","±3.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","422","±78","14.1%","±2.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3,435","±507","20.7%","±2.5","(X)","(X)","(X)","(X)"
"        Vietnam era veterans","(X)","(X)","(X)","(X)","2,897","±312","35.7%","±3.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2,315","±258","38.2%","±3.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6,265","±582","36.4%","±2.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,006","±167","38.4%","±5.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,968","±261","46.4%","±4.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3,420","±285","34.8%","±2.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,192","±182","42.0%","±4.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,441","±188","42.9%","±5.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,817","±238","39.6%","±4.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3,858","±340","35.4%","±3.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","712","±85","46.1%","±5.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,435","±200","41.6%","±5.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,755","±221","39.4%","±4.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,311","±178","45.4%","±4.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,279","±134","42.6%","±3.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6,464","±544","39.0%","±2.7","(X)","(X)","(X)","(X)"
"        Korean War veterans","(X)","(X)","(X)","(X)","390","±129","4.8%","±1.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","537","±114","8.9%","±1.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,493","±337","8.7%","±2.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","256","±90","9.8%","±3.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","312","±95","7.4%","±2.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","733","±194","7.5%","±2.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","277","±88","9.8%","±3.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","269","±100","8.0%","±3.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","523","±156","11.4%","±3.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","850","±128","7.8%","±1.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","120","±36","7.8%","±2.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","436","±135","12.6%","±4.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","259","±114","5.8%","±2.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","235","±68","8.1%","±2.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","231","±55","7.7%","±1.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,142","±201","6.9%","±1.2","(X)","(X)","(X)","(X)"
"        World War II veterans","(X)","(X)","(X)","(X)","179","±84","2.2%","±1.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","197","±84","3.2%","±1.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","725","±188","4.2%","±1.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","91","±51","3.5%","±1.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","124","±79","2.9%","±1.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","404","±101","4.1%","±1.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","77","±46","2.7%","±1.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","91","±48","2.7%","±1.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","183","±81","4.0%","±1.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","365","±151","3.3%","±1.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","43","±40","2.8%","±2.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","103","±62","3.0%","±1.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","79","±54","1.8%","±1.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","131","±79","4.5%","±2.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","66","±31","2.2%","±1.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","532","±166","3.2%","±1.0","(X)","(X)","(X)","(X)"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","40,874","±65","48.3%","±0.1","7,564","±560","93.2%","±1.9","33,310","±555","43.6%","±0.4","26,902","±55","48.9%","±0.1","5,508","±353","90.8%","±2.2","21,394","±362","43.7%","±0.4","114,187","±225","47.8%","±0.1","16,072","±854","93.5%","±1.4","98,115","±908","44.2%","±0.2","11,959","±102","48.6%","±0.4","2,440","±232","93.1%","±2.6","9,519","±234","43.3%","±0.7","21,790","±114","47.9%","±0.2","3,956","±351","93.3%","±2.0","17,834","±369","43.2%","±0.5","47,422","±106","48.1%","±0.1","8,872","±521","90.2%","±2.9","38,550","±531","43.5%","±0.4","16,096","±133","49.1%","±0.4","2,662","±297","93.9%","±2.9","13,434","±323","44.9%","±0.7","13,766","±68","48.1%","±0.2","3,195","±253","95.2%","±1.9","10,571","±250","41.9%","±0.6","23,014","±79","48.8%","±0.2","4,254","±352","92.7%","±2.4","18,760","±372","44.1%","±0.5","60,802","±120","49.1%","±0.1","9,885","±568","90.7%","±1.9","50,917","±590","45.1%","±0.3","7,044","±94","50.4%","±0.5","1,456","±151","94.3%","±3.2","5,588","±182","44.9%","±0.9","14,013","±108","48.4%","±0.3","3,199","±310","92.7%","±2.9","10,814","±307","42.4%","±0.7","20,139","±84","49.2%","±0.2","4,149","±445","93.3%","±1.8","15,990","±454","43.8%","±0.7","15,697","±89","48.6%","±0.3","2,660","±214","92.2%","±2.9","13,037","±220","44.3%","±0.5","12,289","±50","48.6%","±0.2","2,767","±159","92.1%","±1.7","9,522","±162","42.7%","±0.4","79,664","±215","47.8%","±0.1","15,472","±944","93.4%","±1.4","64,192","±993","42.7%","±0.4"
"        Female","43,674","±60","51.7%","±0.1","554","±158","6.8%","±1.9","43,120","±175","56.4%","±0.4","28,101","±50","51.1%","±0.1","555","±138","9.2%","±2.2","27,546","±130","56.3%","±0.4","124,814","±25","52.2%","±0.1","1,122","±251","6.5%","±1.4","123,692","±253","55.8%","±0.2","12,651","±97","51.4%","±0.4","182","±73","6.9%","±2.6","12,469","±126","56.7%","±0.7","23,717","±68","52.1%","±0.2","285","±95","6.7%","±2.0","23,432","±108","56.8%","±0.5","51,100","±65","51.9%","±0.1","964","±314","9.8%","±2.9","50,136","±326","56.5%","±0.4","16,661","±132","50.9%","±0.4","174","±88","6.1%","±2.9","16,487","±151","55.1%","±0.7","14,829","±47","51.9%","±0.2","162","±67","4.8%","±1.9","14,667","±80","58.1%","±0.6","24,114","±83","51.2%","±0.2","336","±112","7.3%","±2.4","23,778","±149","55.9%","±0.5","63,095","±97","50.9%","±0.1","1,019","±218","9.3%","±1.9","62,076","±225","54.9%","±0.3","6,939","±66","49.6%","±0.5","88","±54","5.7%","±3.2","6,851","±91","55.1%","±0.9","14,959","±97","51.6%","±0.3","251","±106","7.3%","±2.9","14,708","±144","57.6%","±0.7","20,781","±72","50.8%","±0.2","300","±81","6.7%","±1.8","20,481","±102","56.2%","±0.7","16,633","±84","51.4%","±0.3","226","±87","7.8%","±2.9","16,407","±126","55.7%","±0.5","13,011","±42","51.4%","±0.2","236","±55","7.9%","±1.7","12,775","±76","57.3%","±0.4","87,133","±107","52.2%","±0.1","1,087","±238","6.6%","±1.4","86,046","±246","57.3%","±0.4"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
