"        18 to 34 years","22,569","±83","26.7%","±0.1","682","±214","8.4%","±2.6","21,887","±236","28.6%","±0.3","11,656","±82","21.2%","±0.1","305","±114","5.0%","±1.8","11,351","±122","23.2%","±0.3","65,222","±205","27.3%","±0.1","1,087","±315","6.3%","±1.7","64,135","±368","28.9%","±0.1","6,182","±126","25.1%","±0.5","105","±46","4.0%","±1.7","6,077","±137","27.6%","±0.6","9,745","±123","21.4%","±0.3","105","±57","2.5%","±1.4","9,640","±137","23.4%","±0.4","24,517","±195","24.9%","±0.2","444","±148","4.5%","±1.4","24,073","±260","27.1%","±0.3","6,647","±163","20.3%","±0.5","118","±60","4.2%","±2.1","6,529","±173","21.8%","±0.6","5,572","±107","19.5%","±0.4","124","±61","3.7%","±1.8","5,448","±119","21.6%","±0.5","9,875","±118","21.0%","±0.3","74","±34","1.6%","±0.8","9,801","±117","23.0%","±0.3","35,873","±211","29.0%","±0.2","777","±222","7.1%","±1.9","35,096","±311","31.1%","±0.3","2,503","±66","17.9%","±0.4","24","±21","1.6%","±1.3","2,479","±69","19.9%","±0.6","6,299","±159","21.7%","±0.5","173","±86","5.0%","±2.3","6,126","±191","24.0%","±0.7","8,755","±121","21.4%","±0.3","182","±91","4.1%","±2.0","8,573","±147","23.5%","±0.4","7,072","±102","21.9%","±0.3","98","±43","3.4%","±1.4","6,974","±113","23.7%","±0.4","5,190","±55","20.5%","±0.2","136","±45","4.5%","±1.4","5,054","±62","22.7%","±0.3","39,306","±233","23.6%","±0.1","1,117","±230","6.7%","±1.3","38,189","±351","25.4%","±0.2"
"        35 to 54 years","27,434","±79","32.4%","±0.1","1,885","±268","23.2%","±2.7","25,549","±280","33.4%","±0.3","15,986","±82","29.1%","±0.1","1,010","±179","16.7%","±2.7","14,976","±196","30.6%","±0.4","76,527","±97","32.0%","±0.1","3,773","±453","21.9%","±2.3","72,754","±485","32.8%","±0.2","6,769","±122","27.5%","±0.5","342","±100","13.0%","±3.6","6,427","±151","29.2%","±0.7","12,818","±117","28.2%","±0.2","715","±160","16.9%","±3.3","12,103","±206","29.3%","±0.5","30,523","±196","31.0%","±0.2","2,121","±338","21.6%","±3.1","28,402","±400","32.0%","±0.5","9,619","±126","29.4%","±0.4","426","±148","15.0%","±4.5","9,193","±186","30.7%","±0.6","7,670","±91","26.8%","±0.3","622","±133","18.5%","±3.3","7,048","±163","27.9%","±0.5","14,390","±132","30.5%","±0.3","797","±171","17.4%","±3.2","13,593","±213","32.0%","±0.4","37,058","±225","29.9%","±0.2","2,442","±338","22.4%","±2.6","34,616","±436","30.6%","±0.3","3,957","±71","28.3%","±0.5","302","±90","19.6%","±4.7","3,655","±89","29.4%","±0.7","8,784","±125","30.3%","±0.4","611","±153","17.7%","±4.0","8,173","±205","32.0%","±0.7","13,002","±126","31.8%","±0.3","992","±246","22.3%","±4.6","12,010","±284","32.9%","±0.6","9,811","±105","30.3%","±0.3","419","±90","14.5%","±3.0","9,392","±122","31.9%","±0.5","7,133","±67","28.2%","±0.3","445","±69","14.8%","±2.2","6,688","±97","30.0%","±0.4","52,108","±240","31.2%","±0.1","3,899","±595","23.5%","±2.9","48,209","±622","32.1%","±0.3"
"        55 to 64 years","15,491","±62","18.3%","±0.1","1,555","±277","19.2%","±3.0","13,936","±284","18.2%","±0.3","11,108","±33","20.2%","±0.1","1,323","±209","21.8%","±3.2","9,785","±209","20.0%","±0.4","42,896","±165","17.9%","±0.1","2,704","±420","15.7%","±2.2","40,192","±482","18.1%","±0.2","5,078","±58","20.6%","±0.2","586","±147","22.3%","±4.8","4,492","±162","20.4%","±0.7","9,231","±53","20.3%","±0.1","722","±160","17.0%","±3.4","8,509","±170","20.6%","±0.4","19,214","±97","19.5%","±0.1","2,063","±310","21.0%","±2.6","17,151","±316","19.3%","±0.3","6,551","±99","20.0%","±0.3","438","±141","15.4%","±4.6","6,113","±166","20.4%","±0.5","5,798","±56","20.3%","±0.2","677","±155","20.2%","±3.9","5,121","±159","20.3%","±0.5","10,300","±60","21.9%","±0.1","1,045","±186","22.8%","±3.3","9,255","±189","21.8%","±0.4","22,911","±94","18.5%","±0.1","2,294","±262","21.0%","±2.2","20,617","±255","18.2%","±0.2","3,070","±33","22.0%","±0.2","283","±80","18.3%","±4.4","2,787","±88","22.4%","±0.6","5,863","±75","20.2%","±0.3","688","±163","19.9%","±3.9","5,175","±172","20.3%","±0.6","8,307","±58","20.3%","±0.1","1,051","±256","23.6%","±4.9","7,256","±247","19.9%","±0.6","6,494","±48","20.1%","±0.2","585","±121","20.3%","±3.7","5,909","±125","20.1%","±0.4","5,282","±39","20.9%","±0.2","673","±102","22.4%","±2.9","4,609","±107","20.7%","±0.4","33,137","±167","19.9%","±0.1","3,114","±402","18.8%","±2.1","30,023","±444","20.0%","±0.3"
"        65 to 74 years","11,258","±80","13.3%","±0.1","2,305","±226","28.4%","±2.6","8,953","±232","11.7%","±0.3","9,233","±54","16.8%","±0.1","1,944","±243","32.1%","±3.6","7,289","±239","14.9%","±0.5","32,218","±173","13.5%","±0.1","4,558","±453","26.5%","±2.5","27,660","±489","12.5%","±0.2","3,984","±58","16.2%","±0.2","789","±138","30.1%","±4.3","3,195","±126","14.5%","±0.5","8,382","±62","18.4%","±0.1","1,495","±233","35.3%","±4.4","6,887","±245","16.7%","±0.5","14,300","±104","14.5%","±0.1","2,503","±263","25.4%","±2.3","11,797","±285","13.3%","±0.3","5,869","±25","17.9%","±0.1","890","±151","31.4%","±4.2","4,979","±158","16.6%","±0.4","5,615","±37","19.6%","±0.1","897","±113","26.7%","±3.4","4,718","±123","18.7%","±0.5","7,477","±66","15.9%","±0.1","1,353","±178","29.5%","±3.1","6,124","±166","14.4%","±0.3","16,634","±82","13.4%","±0.1","2,918","±292","26.8%","±2.4","13,716","±312","12.1%","±0.3","2,730","±44","19.5%","±0.3","531","±82","34.4%","±4.7","2,199","±91","17.7%","±0.6","4,783","±85","16.5%","±0.3","1,093","±163","31.7%","±4.1","3,690","±182","14.5%","±0.7","6,663","±121","16.3%","±0.3","1,387","±202","31.2%","±4.3","5,276","±195","14.5%","±0.5","5,698","±51","17.6%","±0.2","935","±141","32.4%","±4.1","4,763","±131","16.2%","±0.4","4,635","±37","18.3%","±0.1","889","±101","29.6%","±2.9","3,746","±96","16.8%","±0.4","24,987","±199","15.0%","±0.1","4,317","±374","26.1%","±2.1","20,670","±410","13.8%","±0.2"
"        75 years and over","7,796","±51","9.2%","±0.1","1,691","±275","20.8%","±2.9","6,105","±276","8.0%","±0.3","7,020","±52","12.8%","±0.1","1,481","±153","24.4%","±2.3","5,539","±161","11.3%","±0.3","22,138","±181","9.3%","±0.1","5,072","±412","29.5%","±2.2","17,066","±459","7.7%","±0.2","2,597","±20","10.6%","±0.1","800","±95","30.5%","±3.3","1,797","±96","8.2%","±0.4","5,331","±51","11.7%","±0.1","1,204","±174","28.4%","±3.5","4,127","±170","10.0%","±0.4","9,968","±81","10.1%","±0.1","2,705","±257","27.5%","±2.2","7,263","±271","8.2%","±0.3","4,071","±52","12.4%","±0.2","964","±130","34.0%","±4.2","3,107","±141","10.4%","±0.4","3,940","±32","13.8%","±0.1","1,037","±135","30.9%","±3.9","2,903","±140","11.5%","±0.5","5,086","±52","10.8%","±0.1","1,321","±164","28.8%","±3.6","3,765","±169","8.9%","±0.4","11,421","±58","9.2%","±0.1","2,473","±255","22.7%","±2.5","8,948","±256","7.9%","±0.2","1,723","±46","12.3%","±0.3","404","±56","26.2%","±3.3","1,319","±71","10.6%","±0.5","3,243","±26","11.2%","±0.1","885","±109","25.7%","±3.1","2,358","±111","9.2%","±0.4","4,193","±54","10.2%","±0.1","837","±153","18.8%","±3.1","3,356","±167","9.2%","±0.4","3,255","±36","10.1%","±0.1","849","±89","29.4%","±2.9","2,406","±88","8.2%","±0.3","3,060","±27","12.1%","±0.1","860","±66","28.6%","±2.0","2,200","±75","9.9%","±0.3","17,259","±103","10.3%","±0.1","4,112","±364","24.8%","±2.2","13,147","±364","8.8%","±0.2"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","78,952","±206","93.4%","±0.2","7,741","±576","95.4%","±1.4","71,211","±586","93.2%","±0.2","52,445","±164","95.3%","±0.3","5,932","±360","97.8%","±0.8","46,513","±390","95.0%","±0.4","220,243","±882","92.2%","±0.3","16,485","±879","95.9%","±1.0","203,758","±1,138","91.9%","±0.4","23,721","±82","96.4%","±0.4","2,521","±237","96.1%","±2.0","21,200","±247","96.4%","±0.5","43,591","±125","95.8%","±0.3","4,074","±397","96.1%","±1.3","39,517","±404","95.8%","±0.3","94,728","±183","96.1%","±0.2","9,597","±623","97.6%","±1.1","85,131","±635","96.0%","±0.2","31,530","±93","96.3%","±0.3","2,755","±314","97.1%","±1.9","28,775","±344","96.2%","±0.4","27,486","±249","96.1%","±0.9","3,297","±262","98.2%","±1.2","24,189","±319","95.8%","±1.0","45,390","±174","96.3%","±0.4","4,520","±359","98.5%","±1.0","40,870","±439","96.1%","±0.4","117,548","±179","94.9%","±0.1","10,443","±579","95.8%","±1.1","107,105","±632","94.8%","±0.2","13,415","±62","95.9%","±0.6","1,501","±171","97.2%","±1.7","11,914","±193","95.8%","±0.6","27,805","±178","96.0%","±0.6","3,411","±334","98.9%","±0.8","24,394","±374","95.6%","±0.7","39,646","±95","96.9%","±0.2","4,270","±444","96.0%","±2.2","35,376","±459","97.0%","±0.3","31,211","±156","96.5%","±0.5","2,808","±216","97.3%","±1.5","28,403","±257","96.5%","±0.6","23,250","±108","91.9%","±0.4","2,819","±168","93.9%","±1.5","20,431","±210","91.6%","±0.5","158,863","±904","95.2%","±0.5","16,100","±945","97.2%","±1.3","142,763","±1,246","95.0%","±0.6"
"        Black or African American alone","1,462","±247","1.7%","±0.3","50","±36","0.6%","±0.4","1,412","±245","1.8%","±0.3","512","±72","0.9%","±0.1","27","±26","0.4%","±0.4","485","±75","1.0%","±0.2","5,728","±305","2.4%","±0.1","181","±110","1.1%","±0.6","5,547","±318","2.5%","±0.1","78","±49","0.3%","±0.2","25","±30","1.0%","±1.1","53","±49","0.2%","±0.2","279","±72","0.6%","±0.2","16","±16","0.4%","±0.4","263","±71","0.6%","±0.2","713","±112","0.7%","±0.1","62","±59","0.6%","±0.6","651","±127","0.7%","±0.1","175","±64","0.5%","±0.2","33","±41","1.2%","±1.5","142","±60","0.5%","±0.2","139","±56","0.5%","±0.2","0","±23","0.0%","±0.8","139","±56","0.6%","±0.2","166","±39","0.4%","±0.1","0","±26","0.0%","±0.6","166","±39","0.4%","±0.1","1,075","±167","0.9%","±0.1","35","±31","0.3%","±0.3","1,040","±168","0.9%","±0.1","115","±22","0.8%","±0.2","6","±7","0.4%","±0.5","109","±24","0.9%","±0.2","191","±75","0.7%","±0.3","7","±11","0.2%","±0.3","184","±75","0.7%","±0.3","240","±51","0.6%","±0.1","101","±87","2.3%","±1.9","139","±75","0.4%","±0.2","118","±50","0.4%","±0.2","38","±41","1.3%","±1.4","80","±41","0.3%","±0.1","193","±112","0.8%","±0.4","11","±15","0.4%","±0.5","182","±114","0.8%","±0.5","1,380","±224","0.8%","±0.1","109","±67","0.7%","±0.4","1,271","±228","0.8%","±0.2"
"        American Indian and Alaska Native alone","124","±62","0.1%","±0.1","28","±33","0.3%","±0.4","96","±52","0.1%","±0.1","853","±87","1.6%","±0.2","83","±36","1.4%","±0.6","770","±73","1.6%","±0.2","716","±219","0.3%","±0.1","47","±51","0.3%","±0.3","669","±219","0.3%","±0.1","19","±25","0.1%","±0.1","17","±25","0.6%","±0.9","2","±4","0.0%","±0.1","224","±65","0.5%","±0.1","108","±58","2.5%","±1.4","116","±43","0.3%","±0.1","443","±122","0.4%","±0.1","20","±21","0.2%","±0.2","423","±125","0.5%","±0.1","136","±66","0.4%","±0.2","0","±23","0.0%","±1.0","136","±66","0.5%","±0.2","134","±58","0.5%","±0.2","33","±32","1.0%","±1.0","101","±57","0.4%","±0.2","158","±78","0.3%","±0.2","1","±3","0.0%","±0.1","157","±78","0.4%","±0.2","1,412","±181","1.1%","±0.1","101","±50","0.9%","±0.4","1,311","±183","1.2%","±0.2","32","±38","0.2%","±0.3","0","±17","0.0%","±1.8","32","±38","0.3%","±0.3","122","±52","0.4%","±0.2","10","±16","0.3%","±0.5","112","±55","0.4%","±0.2","143","±69","0.3%","±0.2","22","±18","0.5%","±0.4","121","±68","0.3%","±0.2","149","±41","0.5%","±0.1","12","±11","0.4%","±0.4","137","±43","0.5%","±0.1","1,142","±61","4.5%","±0.2","84","±26","2.8%","±0.8","1,058","±65","4.7%","±0.3","577","±199","0.3%","±0.1","22","±25","0.1%","±0.2","555","±199","0.4%","±0.1"
"        Asian alone","787","±123","0.9%","±0.1","23","±27","0.3%","±0.3","764","±126","1.0%","±0.2","191","±38","0.3%","±0.1","6","±13","0.1%","±0.2","185","±38","0.4%","±0.1","5,392","±278","2.3%","±0.1","30","±40","0.2%","±0.2","5,362","±282","2.4%","±0.1","142","±44","0.6%","±0.2","9","±15","0.3%","±0.6","133","±44","0.6%","±0.2","608","±105","1.3%","±0.2","0","±26","0.0%","±0.6","608","±105","1.5%","±0.3","850","±104","0.9%","±0.1","0","±26","0.0%","±0.3","850","±104","1.0%","±0.1","184","±55","0.6%","±0.2","0","±23","0.0%","±1.0","184","±55","0.6%","±0.2","201","±45","0.7%","±0.2","0","±23","0.0%","±0.8","201","±45","0.8%","±0.2","267","±70","0.6%","±0.1","0","±26","0.0%","±0.6","267","±70","0.6%","±0.2","1,011","±187","0.8%","±0.2","35","±30","0.3%","±0.3","976","±184","0.9%","±0.2","101","±59","0.7%","±0.4","3","±8","0.2%","±0.5","98","±59","0.8%","±0.5","246","±65","0.8%","±0.2","15","±16","0.4%","±0.5","231","±66","0.9%","±0.3","242","±34","0.6%","±0.1","0","±26","0.0%","±0.6","242","±34","0.7%","±0.1","132","±31","0.4%","±0.1","0","±23","0.0%","±0.9","132","±31","0.4%","±0.1","95","±23","0.4%","±0.1","0","±23","0.0%","±0.9","95","±23","0.4%","±0.1","1,873","±190","1.1%","±0.1","45","±44","0.3%","±0.3","1,828","±186","1.2%","±0.1"
"        Native Hawaiian and Other Pacific Islander alone","0","±26","0.0%","±0.1","0","±26","0.0%","±0.3","0","±26","0.0%","±0.1","25","±18","0.0%","±0.1","0","±26","0.0%","±0.5","25","±18","0.1%","±0.1","28","±33","0.0%","±0.1","0","±26","0.0%","±0.2","28","±33","0.0%","±0.1","7","±10","0.0%","±0.1","0","±20","0.0%","±1.0","7","±10","0.0%","±0.1","8","±14","0.0%","±0.1","0","±26","0.0%","±0.6","8","±14","0.0%","±0.1","56","±44","0.1%","±0.1","0","±26","0.0%","±0.3","56","±44","0.1%","±0.1","5","±7","0.0%","±0.1","0","±23","0.0%","±1.0","5","±7","0.0%","±0.1","0","±23","0.0%","±0.1","0","±23","0.0%","±0.8","0","±23","0.0%","±0.1","3","±5","0.0%","±0.1","3","±5","0.1%","±0.1","0","±26","0.0%","±0.1","6","±9","0.0%","±0.1","0","±26","0.0%","±0.3","6","±9","0.0%","±0.1","0","±17","0.0%","±0.2","0","±17","0.0%","±1.8","0","±17","0.0%","±0.2","0","±23","0.0%","±0.1","0","±23","0.0%","±0.8","0","±23","0.0%","±0.1","0","±26","0.0%","±0.1","0","±26","0.0%","±0.6","0","±26","0.0%","±0.1","0","±23","0.0%","±0.1","0","±23","0.0%","±0.9","0","±23","0.0%","±0.1","6","±5","0.0%","±0.1","0","±23","0.0%","±0.9","6","±5","0.0%","±0.1","27","±28","0.0%","±0.1","0","±26","0.0%","±0.2","27","±28","0.0%","±0.1"
"        Some other race alone","206","±154","0.2%","±0.2","48","±60","0.6%","±0.7","158","±101","0.2%","±0.1","164","±98","0.3%","±0.2","0","±26","0.0%","±0.5","164","±98","0.3%","±0.2","1,224","±645","0.5%","±0.3","40","±32","0.2%","±0.2","1,184","±646","0.5%","±0.3","102","±60","0.4%","±0.2","35","±35","1.3%","±1.4","67","±43","0.3%","±0.2","85","±71","0.2%","±0.2","8","±10","0.2%","±0.2","77","±70","0.2%","±0.2","155","±83","0.2%","±0.1","0","±26","0.0%","±0.3","155","±83","0.2%","±0.1","108","±79","0.3%","±0.2","3","±5","0.1%","±0.2","105","±79","0.4%","±0.3","79","±44","0.3%","±0.2","0","±23","0.0%","±0.8","79","±44","0.3%","±0.2","65","±61","0.1%","±0.1","4","±5","0.1%","±0.1","61","±60","0.1%","±0.1","410","±128","0.3%","±0.1","9","±14","0.1%","±0.1","401","±126","0.4%","±0.1","78","±53","0.6%","±0.4","8","±11","0.5%","±0.7","70","±54","0.6%","±0.4","60","±63","0.2%","±0.2","0","±23","0.0%","±0.8","60","±63","0.2%","±0.2","55","±47","0.1%","±0.1","4","±5","0.1%","±0.1","51","±47","0.1%","±0.1","126","±109","0.4%","±0.3","0","±23","0.0%","±0.9","126","±109","0.4%","±0.4","123","±56","0.5%","±0.2","24","±23","0.8%","±0.8","99","±45","0.4%","±0.2","391","±161","0.2%","±0.1","21","±36","0.1%","±0.2","370","±150","0.2%","±0.1"
"        Two or more races","3,017","±361","3.6%","±0.4","228","±86","2.8%","±1.1","2,789","±350","3.6%","±0.5","813","±178","1.5%","±0.3","15","±10","0.2%","±0.2","798","±178","1.6%","±0.4","5,670","±824","2.4%","±0.3","411","±156","2.4%","±0.9","5,259","±771","2.4%","±0.3","541","±113","2.2%","±0.5","15","±17","0.6%","±0.6","526","±112","2.4%","±0.5","712","±143","1.6%","±0.3","35","±39","0.8%","±0.9","677","±137","1.6%","±0.3","1,577","±211","1.6%","±0.2","157","±91","1.6%","±0.9","1,420","±191","1.6%","±0.2","619","±164","1.9%","±0.5","45","±33","1.6%","±1.2","574","±163","1.9%","±0.5","556","±253","1.9%","±0.9","27","±29","0.8%","±0.9","529","±247","2.1%","±1.0","1,079","±210","2.3%","±0.4","62","±43","1.4%","±0.9","1,017","±201","2.4%","±0.5","2,435","±315","2.0%","±0.3","281","±102","2.6%","±0.9","2,154","±319","1.9%","±0.3","242","±95","1.7%","±0.7","26","±23","1.7%","±1.5","216","±91","1.7%","±0.7","548","±189","1.9%","±0.7","7","±9","0.2%","±0.3","541","±190","2.1%","±0.7","594","±107","1.5%","±0.3","52","±42","1.2%","±1.0","542","±110","1.5%","±0.3","594","±131","1.8%","±0.4","28","±23","1.0%","±0.8","566","±129","1.9%","±0.4","491","±80","1.9%","±0.3","65","±33","2.2%","±1.1","426","±84","1.9%","±0.4","3,686","±903","2.2%","±0.5","262","±187","1.6%","±1.1","3,424","±866","2.3%","±0.6"
"        Hispanic or Latino (of any race)","1,324","±3","1.6%","±0.1","79","±71","1.0%","±0.9","1,245","±72","1.6%","±0.1","582","±7","1.1%","±0.1","56","±27","0.9%","±0.4","526","±27","1.1%","±0.1","4,456","±92","1.9%","±0.1","284","±102","1.7%","±0.6","4,172","±155","1.9%","±0.1","295","±2","1.2%","±0.1","42","±42","1.6%","±1.6","253","±42","1.2%","±0.2","579","±4","1.3%","±0.1","12","±10","0.3%","±0.2","567","±12","1.4%","±0.1","1,244","±77","1.3%","±0.1","92","±60","0.9%","±0.6","1,152","±82","1.3%","±0.1","441","±96","1.3%","±0.3","7","±8","0.2%","±0.3","434","±94","1.5%","±0.3","304","±7","1.1%","±0.1","3","±5","0.1%","±0.2","301","±10","1.2%","±0.1","520","±3","1.1%","±0.1","29","±19","0.6%","±0.4","491","±19","1.2%","±0.1","1,488","±25","1.2%","±0.1","151","±69","1.4%","±0.6","1,337","±70","1.2%","±0.1","176","±2","1.3%","±0.1","13","±14","0.8%","±0.9","163","±13","1.3%","±0.1","446","±4","1.5%","±0.1","14","±18","0.4%","±0.5","432","±18","1.7%","±0.1","386","±4","0.9%","±0.1","10","±8","0.2%","±0.2","376","±10","1.0%","±0.1","464","±7","1.4%","±0.1","3","±4","0.1%","±0.2","461","±9","1.6%","±0.1","474","±5","1.9%","±0.1","41","±25","1.4%","±0.8","433","±25","1.9%","±0.1","2,435","±122","1.5%","±0.1","139","±74","0.8%","±0.4","2,296","±138","1.5%","±0.1"
"        White alone, not Hispanic or Latino","78,363","±132","92.7%","±0.2","7,715","±574","95.0%","±1.5","70,648","±577","92.4%","±0.2","52,085","±142","94.7%","±0.3","5,887","±359","97.1%","±0.8","46,198","±395","94.4%","±0.3","217,362","±851","90.9%","±0.3","16,324","±865","94.9%","±1.0","201,038","±1,077","90.6%","±0.4","23,619","±57","96.0%","±0.3","2,512","±237","95.8%","±2.1","21,107","±247","96.0%","±0.4","43,207","±79","94.9%","±0.2","4,069","±397","95.9%","±1.3","39,138","±390","94.8%","±0.2","93,877","±60","95.3%","±0.1","9,563","±620","97.2%","±1.1","84,314","±616","95.1%","±0.2","31,290","±67","95.5%","±0.4","2,751","±315","97.0%","±1.9","28,539","±336","95.4%","±0.5","27,267","±240","95.4%","±0.8","3,294","±262","98.1%","±1.2","23,973","±314","95.0%","±0.9","45,013","±126","95.5%","±0.3","4,499","±361","98.0%","±1.0","40,514","±406","95.2%","±0.4","116,749","±142","94.2%","±0.1","10,299","±569","94.5%","±1.2","106,450","±603","94.2%","±0.1","13,321","±38","95.3%","±0.5","1,496","±172","96.9%","±1.8","11,825","±174","95.1%","±0.5","27,424","±164","94.7%","±0.6","3,397","±336","98.5%","±0.9","24,027","±379","94.1%","±0.7","39,389","±74","96.3%","±0.2","4,266","±444","95.9%","±2.2","35,123","±455","96.3%","±0.3","30,844","±140","95.4%","±0.4","2,808","±216","97.3%","±1.5","28,036","±248","95.2%","±0.5","23,067","±51","91.2%","±0.2","2,793","±171","93.0%","±1.6","20,274","±186","90.9%","±0.2","157,195","±873","94.2%","±0.5","16,009","±942","96.7%","±1.3","141,186","±1,204","94.0%","±0.6"
"MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian population 18 years and over with income","30,855","±676","(X)","(X)","40,285","±2,988","(X)","(X)","30,135","±785","(X)","(X)","24,781","±1,007","(X)","(X)","33,157","±2,317","(X)","(X)","23,486","±1,121","(X)","(X)","38,207","±935","(X)","(X)","43,945","±2,545","(X)","(X)","37,621","±961","(X)","(X)","27,053","±1,270","(X)","(X)","37,917","±4,332","(X)","(X)","26,319","±1,258","(X)","(X)","31,567","±914","(X)","(X)","40,833","±4,968","(X)","(X)","30,878","±939","(X)","(X)","30,598","±743","(X)","(X)","39,143","±3,735","(X)","(X)","29,781","±926","(X)","(X)","31,104","±1,029","(X)","(X)","42,351","±5,585","(X)","(X)","30,477","±1,134","(X)","(X)","32,381","±1,386","(X)","(X)","44,170","±2,939","(X)","(X)","30,755","±1,323","(X)","(X)","25,925","±841","(X)","(X)","33,780","±2,139","(X)","(X)","25,180","±1,081","(X)","(X)","27,535","±898","(X)","(X)","36,950","±2,361","(X)","(X)","26,672","±694","(X)","(X)","23,677","±1,229","(X)","(X)","33,504","±3,944","(X)","(X)","22,612","±1,262","(X)","(X)","37,450","±1,940","(X)","(X)","43,814","±4,171","(X)","(X)","36,535","±1,982","(X)","(X)","24,666","±998","(X)","(X)","32,394","±2,949","(X)","(X)","23,641","±1,213","(X)","(X)","30,458","±1,261","(X)","(X)","40,810","±3,844","(X)","(X)","29,550","±1,681","(X)","(X)","25,070","±884","(X)","(X)","37,639","±2,625","(X)","(X)","23,176","±1,207","(X)","(X)","34,762","±829","(X)","(X)","43,622","±1,695","(X)","(X)","33,835","±883","(X)","(X)"
"        Male","(X)","(X)","(X)","(X)","41,198","±3,359","(X)","(X)","35,155","±1,254","(X)","(X)","(X)","(X)","(X)","(X)","33,624","±2,725","(X)","(X)","29,454","±1,715","(X)","(X)","(X)","(X)","(X)","(X)","44,136","±2,638","(X)","(X)","45,300","±1,380","(X)","(X)","(X)","(X)","(X)","(X)","37,844","±4,733","(X)","(X)","32,897","±2,188","(X)","(X)","(X)","(X)","(X)","(X)","42,295","±4,776","(X)","(X)","39,286","±2,150","(X)","(X)","(X)","(X)","(X)","(X)","39,787","±3,023","(X)","(X)","36,029","±1,322","(X)","(X)","(X)","(X)","(X)","(X)","43,011","±5,267","(X)","(X)","37,926","±2,696","(X)","(X)","(X)","(X)","(X)","(X)","44,309","±2,734","(X)","(X)","38,627","±2,612","(X)","(X)","(X)","(X)","(X)","(X)","34,360","±2,047","(X)","(X)","30,547","±1,729","(X)","(X)","(X)","(X)","(X)","(X)","36,698","±2,477","(X)","(X)","31,590","±1,060","(X)","(X)","(X)","(X)","(X)","(X)","33,214","±4,888","(X)","(X)","28,607","±3,816","(X)","(X)","(X)","(X)","(X)","(X)","44,081","±4,425","(X)","(X)","42,771","±3,610","(X)","(X)","(X)","(X)","(X)","(X)","32,859","±3,158","(X)","(X)","30,230","±1,326","(X)","(X)","(X)","(X)","(X)","(X)","42,472","±3,546","(X)","(X)","35,189","±2,110","(X)","(X)","(X)","(X)","(X)","(X)","38,087","±2,364","(X)","(X)","31,456","±1,556","(X)","(X)","(X)","(X)","(X)","(X)","44,030","±1,871","(X)","(X)","42,726","±1,244","(X)","(X)"
